ds,FOODS_1_001,FOODS_1_002,FOODS_1_003,FOODS_1_004,FOODS_1_005,FOODS_1_006,FOODS_1_008,FOODS_1_009
2015-12-10,1,0,3,2,1,0,2,0
2015-12-11,1,0,0,0,4,0,0,6
2015-12-12,0,3,2,0,2,2,0,4
2015-12-13,4,0,3,0,3,2,0,1
2015-12-14,0,0,0,0,24,2,0,0
2015-12-15,1,0,2,0,0,0,0,3
2015-12-16,0,2,1,0,3,2,0,4
2015-12-17,0,0,2,0,1,1,1,0
2015-12-18,0,1,1,0,2,0,1,1
2015-12-19,2,0,0,0,2,0,0,7
2015-12-20,0,2,0,0,0,0,0,0
2015-12-21,0,0,0,0,7,1,1,2
2015-12-22,1,1,0,0,2,2,1,1
2015-12-23,2,1,0,40,0,5,0,0
2015-12-24,0,0,0,31,5,4,4,5
2015-12-25,0,0,0,0,0,0,0,0
2015-12-26,1,0,0,14,1,0,0,0
2015-12-27,0,0,0,9,1,0,0,1
2015-12-28,0,0,0,2,0,0,0,1
2015-12-29,0,2,0,9,1,0,0,3
2015-12-30,0,0,0,3,1,9,2,1
2015-12-31,2,1,0,5,2,2,0,0
2016-01-01,0,0,0,5,0,0,0,1
2016-01-02,0,1,0,7,0,2,0,0
2016-01-03,0,0,0,7,0,0,0,1
2016-01-04,1,2,5,11,3,3,0,1
2016-01-05,0,0,0,12,0,0,0,0
2016-01-06,0,0,1,6,2,1,0,0
2016-01-07,0,0,2,3,0,3,0,1
2016-01-08,3,0,0,4,1,0,0,0
2016-01-09,0,0,2,5,0,7,0,0
2016-01-10,0,0,0,6,0,4,0,2
2016-01-11,0,0,2,10,3,4,0,3
2016-01-12,0,0,0,1,2,5,0,0
2016-01-13,2,0,0,6,3,1,0,0
2016-01-14,0,0,0,0,2,0,0,0
2016-01-15,0,0,1,1,2,0,0,0
2016-01-16,0,0,2,1,1,0,0,3
2016-01-17,1,2,0,2,3,0,0,0
2016-01-18,0,1,0,3,0,5,0,0
2016-01-19,0,0,0,1,1,1,0,0
2016-01-20,0,0,0,3,0,0,0,1
2016-01-21,1,0,1,5,0,0,0,3
2016-01-22,0,0,2,3,0,0,0,0
2016-01-23,0,0,2,3,2,3,0,1
2016-01-24,0,0,0,2,0,1,0,2
2016-01-25,0,1,6,4,0,0,0,0
2016-01-26,1,0,0,3,1,0,1,0
2016-01-27,1,0,0,4,2,0,0,2
2016-01-28,2,0,0,18,2,0,0,0
2016-01-29,1,0,2,19,1,2,0,3
2016-01-30,0,0,0,26,9,0,1,4
2016-01-31,2,0,2,20,5,5,0,6
2016-02-01,0,2,2,19,1,2,0,1
2016-02-02,2,0,0,20,3,3,0,2
2016-02-03,0,0,0,9,2,6,0,2
2016-02-04,3,4,1,9,3,1,0,3
2016-02-05,1,0,0,2,0,1,0,0
2016-02-06,2,0,3,0,0,1,1,0
2016-02-07,0,2,0,0,4,0,0,0
2016-02-08,2,0,0,0,3,1,1,0
2016-02-09,0,0,1,0,0,1,0,0
2016-02-10,0,1,0,0,3,6,0,0
2016-02-11,2,1,1,0,2,1,0,0
2016-02-12,0,0,1,0,4,7,3,0
2016-02-13,0,0,4,0,2,2,0,0
2016-02-14,2,1,0,0,1,1,2,0
2016-02-15,1,3,1,0,0,2,0,0
2016-02-16,0,0,1,0,0,1,0,0
2016-02-17,1,0,0,0,0,4,0,0
2016-02-18,0,0,0,0,1,1,2,0
2016-02-19,1,0,0,0,1,1,1,0
2016-02-20,2,0,0,0,1,2,1,0
2016-02-21,0,0,0,0,4,3,0,0
2016-02-22,0,0,0,0,0,0,0,0
2016-02-23,1,0,0,0,0,0,0,0
2016-02-24,0,0,2,0,2,4,1,0
2016-02-25,0,0,2,0,0,2,0,0
2016-02-26,0,0,0,0,1,6,0,0
2016-02-27,0,0,0,0,1,1,2,0
2016-02-28,0,0,1,0,0,5,0,0
2016-02-29,1,1,0,0,2,1,1,0
2016-03-01,0,0,0,0,0,0,0,0
2016-03-02,1,0,3,0,0,3,0,0
2016-03-03,0,0,1,0,0,3,0,0
2016-03-04,0,0,1,0,2,0,0,0
2016-03-05,2,2,1,0,1,2,0,0
2016-03-06,0,0,1,0,0,1,0,0
2016-03-07,0,0,0,0,0,2,0,0
2016-03-08,0,0,0,0,2,3,0,0
2016-03-09,0,1,0,0,1,4,0,0
2016-03-10,1,0,0,0,2,0,0,0
2016-03-11,1,0,1,0,1,2,0,0
2016-03-12,1,0,0,0,5,1,0,0
2016-03-13,1,1,0,0,2,1,0,0
2016-03-14,3,0,3,0,1,3,0,0
2016-03-15,0,1,0,0,3,1,0,0
2016-03-16,0,1,1,0,2,5,0,0
2016-03-17,2,1,0,0,1,1,1,0
2016-03-18,1,2,1,0,1,2,0,0
2016-03-19,2,1,0,0,1,8,0,0
2016-03-20,2,1,3,0,3,1,0,0
2016-03-21,0,0,1,0,2,0,0,0
2016-03-22,2,1,2,0,3,0,0,0
2016-03-23,2,0,1,0,0,0,2,0
2016-03-24,0,0,0,0,0,0,0,0
2016-03-25,1,1,0,0,0,3,1,0
2016-03-26,1,0,1,0,2,0,2,0
2016-03-27,0,0,1,0,3,1,0,0
2016-03-28,2,0,4,0,1,3,0,0
2016-03-29,1,1,0,0,1,0,0,0
2016-03-30,1,0,0,0,0,2,0,0
2016-03-31,0,0,1,0,0,3,0,0
2016-04-01,4,0,1,0,3,1,1,0
2016-04-02,0,0,0,0,0,1,1,0
2016-04-03,0,0,0,0,0,2,0,0
2016-04-04,4,0,1,0,2,1,0,0
2016-04-05,1,0,0,0,0,2,0,0
2016-04-06,3,1,1,0,0,8,0,0
2016-04-07,0,0,1,0,3,3,0,0
2016-04-08,1,0,0,0,0,2,0,0
2016-04-09,0,0,1,0,2,3,0,0
2016-04-10,2,0,0,0,0,0,1,0
2016-04-11,2,1,0,0,2,0,0,0
2016-04-12,0,0,1,0,0,0,0,0
2016-04-13,1,0,2,0,1,0,0,0
2016-04-14,1,1,0,0,2,2,0,0
2016-04-15,0,1,3,0,3,1,0,0
2016-04-16,2,3,0,0,1,3,1,0
2016-04-17,0,1,2,0,1,1,0,0
2016-04-18,4,0,1,0,2,0,0,0
2016-04-19,1,0,1,0,0,2,0,0
2016-04-20,1,1,0,0,2,1,0,0
2016-04-21,0,2,1,0,2,2,0,0
2016-04-22,1,0,0,0,1,3,0,0
2016-04-23,1,0,1,0,4,2,0,0
2016-04-24,0,0,0,0,1,2,0,0
2016-04-25,2,0,3,0,1,1,0,0
2016-04-26,0,0,1,4,0,1,0,0
2016-04-27,0,0,0,5,0,4,0,1
2016-04-28,0,0,0,2,0,2,0,1
2016-04-29,0,0,0,6,1,0,0,1
2016-04-30,1,1,0,4,3,1,0,1
2016-05-01,1,0,0,6,4,0,0,1
2016-05-02,0,1,3,4,2,3,0,1
2016-05-03,6,3,1,3,1,2,1,4
2016-05-04,1,0,0,3,1,0,1,0
2016-05-05,0,0,0,4,4,0,0,0
2016-05-06,3,1,1,2,0,5,0,0
2016-05-07,0,0,2,3,3,3,1,4
2016-05-08,0,2,2,4,2,2,0,5
2016-05-09,0,1,0,0,2,1,2,2
2016-05-10,2,0,0,7,1,0,0,1
2016-05-11,0,0,0,7,1,5,0,3
2016-05-12,0,1,0,1,1,0,0,0
2016-05-13,2,2,2,5,2,2,0,1
2016-05-14,3,1,0,6,1,3,0,1
2016-05-15,1,0,0,2,11,3,1,2
2016-05-16,0,1,0,5,0,7,0,0
2016-05-17,0,1,0,1,0,3,0,0
2016-05-18,0,1,0,2,0,3,0,0
2016-05-19,1,0,2,1,0,4,0,1
2016-05-20,0,1,2,1,0,0,0,0
2016-05-21,0,1,0,3,0,4,0,4
2016-05-22,0,2,1,4,1,0,0,3
2016-05-23,3,2,0,1,0,0,0,0
2016-05-24,0,1,1,7,1,0,0,2
2016-05-25,0,1,0,4,4,1,0,0
2016-05-26,0,8,2,19,0,0,0,1
2016-05-27,6,0,0,12,0,1,1,4
2016-05-28,1,0,0,13,1,0,1,0
2016-05-29,3,0,1,13,3,0,0,3
2016-05-30,0,0,0,12,1,0,0,1
2016-05-31,1,0,0,9,0,0,0,0
2016-06-01,5,0,1,7,1,0,0,5
2016-06-02,0,0,0,1,4,2,0,3
2016-06-03,1,1,1,4,2,3,0,1
2016-06-04,0,1,2,4,1,3,0,0
2016-06-05,1,1,0,5,1,1,0,2
2016-06-06,1,1,1,3,2,2,0,2
2016-06-07,5,1,1,7,2,3,0,3
2016-06-08,1,1,1,4,3,1,0,5
2016-06-09,0,1,0,11,1,0,0,1
2016-06-10,2,2,0,5,2,6,0,1
2016-06-11,3,0,1,7,1,0,0,0
2016-06-12,2,3,0,1,1,2,0,3
2016-06-13,2,1,0,1,0,1,0,1
2016-06-14,0,0,0,2,0,0,1,0
2016-06-15,0,1,0,2,3,5,2,3
2016-06-16,0,0,0,2,0,7,0,0
2016-06-17,1,2,0,5,2,3,1,0
2016-06-18,1,2,1,4,0,0,0,0
2016-06-19,5,0,0,2,2,1,0,1
