ds,y_H165,y_H25,y_H263,y_H299,naive_H165,naive_H25,naive_H263,naive_H299,seasonal_H165,seasonal_H25,seasonal_H263,seasonal_H299
2024-01-26 20:00:00,180.0,2240.0,,,,,,,,,,
2024-01-26 21:00:00,175.0,2295.0,,,,,,,,,,
2024-01-26 22:00:00,124.0,2374.0,,,,,,,,,,
2024-01-26 23:00:00,85.0,2463.0,,,,,,,,,,
2024-01-27 00:00:00,62.0,2526.0,,,,,,,,,,
2024-01-27 01:00:00,46.0,2578.0,,,,,,,,,,
2024-01-27 02:00:00,31.0,2567.0,,,,,,,,,,
2024-01-27 03:00:00,28.0,2500.0,,,,,,,,,,
2024-01-27 04:00:00,20.0,2415.0,,,,,,,,,,
2024-01-27 05:00:00,21.0,2354.0,,,,,,,,,,
2024-01-27 06:00:00,23.0,2224.0,,,,,,,,,,
2024-01-27 07:00:00,46.0,2033.0,,,,,,,,,,
2024-01-27 08:00:00,110.0,1896.0,,,,,,,,,,
2024-01-27 09:00:00,384.0,1821.0,,,,,,,,,,
2024-01-27 10:00:00,570.0,1764.0,,,,,,,,,,
2024-01-27 11:00:00,498.0,1738.0,,,,,,,,,,
2024-01-27 12:00:00,686.0,1733.0,,,,,,,,,,
2024-01-27 13:00:00,819.0,1776.0,,,,,,,,,,
2024-01-27 14:00:00,846.0,1880.0,,,,,,,,,,
2024-01-27 15:00:00,691.0,1993.0,,,,,,,,,,
2024-01-27 16:00:00,685.0,2098.0,,,,,,,,,,
2024-01-27 17:00:00,604.0,2160.0,,,,,,,,,,
2024-01-27 18:00:00,837.0,2212.0,,,,,,,,,,
2024-01-27 19:00:00,625.0,2252.0,,,,,,,,,,
2024-01-27 20:00:00,353.0,2256.0,,,,,,,,,,
2024-01-27 21:00:00,299.0,2265.0,,,,,,,,,,
2024-01-27 22:00:00,241.0,2289.0,,,,,,,,,,
2024-01-27 23:00:00,131.0,2317.0,,,,,,,,,,
2024-01-28 00:00:00,109.0,2322.0,,,,,,,,,,
2024-01-28 01:00:00,34.0,2347.0,,,,,,,,,,
2024-01-28 02:00:00,43.0,2349.0,,,,,,,,,,
2024-01-28 03:00:00,14.0,2315.0,,,,,,,,,,
2024-01-28 04:00:00,21.0,2287.0,,,,,,,,,,
2024-01-28 05:00:00,22.0,2262.0,,,,,,,,,,
2024-01-28 06:00:00,15.0,2176.0,,,,,,,,,,
2024-01-28 07:00:00,40.0,2001.0,,,,,,,,,,
2024-01-28 08:00:00,125.0,1871.0,,,,,,,,,,
2024-01-28 09:00:00,402.0,1812.0,,,,,,,,,,
2024-01-28 10:00:00,622.0,1758.0,,,,,,,,,,
2024-01-28 11:00:00,512.0,1738.0,,,,,,,,,,
2024-01-28 12:00:00,654.0,1737.0,,,,,,,,,,
2024-01-28 13:00:00,776.0,1779.0,,,,,,,,,,
2024-01-28 14:00:00,714.0,1877.0,,,,,,,,,,
2024-01-28 15:00:00,656.0,1996.0,,,,,,,,,,
2024-01-28 16:00:00,627.0,2088.0,,,,,,,,,,
2024-01-28 17:00:00,854.0,2152.0,,,,,,,,,,
2024-01-28 18:00:00,806.0,2208.0,,,,,,,,,,
2024-01-28 19:00:00,723.0,2264.0,,,,,,,,,,
2024-01-28 20:00:00,397.0,2293.0,,,,,,,,,,
2024-01-28 21:00:00,308.0,2334.0,,,,,,,,,,
2024-01-28 22:00:00,175.0,2382.0,,,,,,,,,,
2024-01-28 23:00:00,115.0,2426.0,,,,,,,,,,
2024-01-29 00:00:00,87.0,2473.0,,,,,,,,,,
2024-01-29 01:00:00,45.0,2528.0,,,,,,,,,,
2024-01-29 02:00:00,22.0,2576.0,,,,,,,,,,
2024-01-29 03:00:00,20.0,2562.0,,,,,,,,,,
2024-01-29 04:00:00,21.0,2505.0,,,,,,,,,,
2024-01-29 05:00:00,15.0,2448.0,,,,,,,,,,
2024-01-29 06:00:00,14.0,2327.0,,,,,,,,,,
2024-01-29 07:00:00,49.0,2148.0,,,,,,,,,,
2024-01-29 08:00:00,130.0,2001.0,,,,,,,,,,
2024-01-29 09:00:00,337.0,1907.0,,,,,,,,,,
2024-01-29 10:00:00,479.0,1861.0,,,,,,,,,,
2024-01-29 11:00:00,497.0,1812.0,,,,,,,,,,
2024-01-29 12:00:00,557.0,1811.0,,,,,,,,,,
2024-01-29 13:00:00,674.0,1851.0,,,,,,,,,,
2024-01-29 14:00:00,716.0,1939.0,,,,,,,,,,
2024-01-29 15:00:00,607.0,2043.0,,,,,,,,,,
2024-01-29 16:00:00,641.0,2152.0,,,,,,,,,,
2024-01-29 17:00:00,637.0,2235.0,,,,,,,,,,
2024-01-29 18:00:00,1024.0,2276.0,,,,,,,,,,
2024-01-29 19:00:00,703.0,2352.0,,,,,,,,,,
2024-01-29 20:00:00,419.0,2410.0,,,,,,,,,,
2024-01-29 21:00:00,271.0,2502.0,,,,,,,,,,
2024-01-29 22:00:00,158.0,2589.0,,,,,,,,,,
2024-01-29 23:00:00,158.0,2666.0,,,,,,,,,,
2024-01-30 00:00:00,174.0,2733.0,,,,,,,,,,
2024-01-30 01:00:00,52.0,2794.0,,,,,,,,,,
2024-01-30 02:00:00,37.0,2829.0,,,,,,,,,,
2024-01-30 03:00:00,24.0,2815.0,,,,,,,,,,
2024-01-30 04:00:00,14.0,2742.0,,,,,,,,,,
2024-01-30 05:00:00,17.0,2657.0,,,14.0,2742.0,,,15.0,2448.0,,
2024-01-30 06:00:00,23.0,2473.0,,,14.0,2742.0,,,14.0,2327.0,,
2024-01-30 07:00:00,47.0,2260.0,,,14.0,2742.0,,,49.0,2148.0,,
2024-01-30 08:00:00,90.0,2081.0,,,14.0,2742.0,,,130.0,2001.0,,
2024-01-30 09:00:00,377.0,1988.0,,,14.0,2742.0,,,337.0,1907.0,,
2024-01-30 10:00:00,606.0,1924.0,,,14.0,2742.0,,,479.0,1861.0,,
2024-01-30 11:00:00,506.0,1885.0,,,14.0,2742.0,,,497.0,1812.0,,
2024-01-30 12:00:00,561.0,1865.0,,,14.0,2742.0,,,557.0,1811.0,,
2024-01-30 13:00:00,762.0,1902.0,,,14.0,2742.0,,,674.0,1851.0,,
2024-01-30 14:00:00,816.0,1983.0,,,14.0,2742.0,,,716.0,1939.0,,
2024-01-30 15:00:00,728.0,2094.0,,,14.0,2742.0,,,607.0,2043.0,,
2024-01-30 16:00:00,655.0,2218.0,,,14.0,2742.0,,,641.0,2152.0,,
2024-01-30 17:00:00,683.0,2325.0,,,14.0,2742.0,,,637.0,2235.0,,
2024-01-30 18:00:00,823.0,2406.0,,,14.0,2742.0,,,1024.0,2276.0,,
2024-01-30 19:00:00,666.0,2507.0,,,14.0,2742.0,,,703.0,2352.0,,
2024-01-30 20:00:00,424.0,2598.0,,,14.0,2742.0,,,419.0,2410.0,,
2024-01-30 21:00:00,258.0,2729.0,,,14.0,2742.0,,,271.0,2502.0,,
2024-01-30 22:00:00,212.0,2838.0,,,14.0,2742.0,,,158.0,2589.0,,
2024-01-30 23:00:00,140.0,2938.0,,,14.0,2742.0,,,158.0,2666.0,,
2024-01-31 00:00:00,91.0,3009.0,,,14.0,2742.0,,,174.0,2733.0,,
2024-01-31 01:00:00,47.0,3065.0,,,14.0,2742.0,,,52.0,2794.0,,
2024-01-31 02:00:00,42.0,3089.0,,,14.0,2742.0,,,37.0,2829.0,,
2024-01-31 03:00:00,34.0,3054.0,,,14.0,2742.0,,,24.0,2815.0,,
2024-01-31 04:00:00,18.0,2959.0,,,14.0,2742.0,,,14.0,2742.0,,
2024-01-31 05:00:00,14.0,2827.0,,,14.0,2742.0,,,15.0,2448.0,,
2024-01-31 06:00:00,21.0,2657.0,,,14.0,2742.0,,,14.0,2327.0,,
2024-01-31 07:00:00,42.0,2413.0,,,14.0,2742.0,,,49.0,2148.0,,
2024-01-31 08:00:00,123.0,2233.0,,,14.0,2742.0,,,130.0,2001.0,,
2024-01-31 09:00:00,341.0,2068.0,,,14.0,2742.0,,,337.0,1907.0,,
2024-01-31 10:00:00,475.0,1945.0,,,14.0,2742.0,,,479.0,1861.0,,
2024-01-31 11:00:00,504.0,1887.0,,,14.0,2742.0,,,497.0,1812.0,,
2024-01-31 12:00:00,617.0,1860.0,,,14.0,2742.0,,,557.0,1811.0,,
2024-01-31 13:00:00,728.0,1905.0,,,14.0,2742.0,,,674.0,1851.0,,
2024-01-31 14:00:00,814.0,2000.0,,,14.0,2742.0,,,716.0,1939.0,,
2024-01-31 15:00:00,625.0,2107.0,,,14.0,2742.0,,,607.0,2043.0,,
2024-01-31 16:00:00,660.0,2250.0,,,14.0,2742.0,,,641.0,2152.0,,
2024-01-31 17:00:00,610.0,2378.0,,,14.0,2742.0,,,637.0,2235.0,,
2024-01-31 18:00:00,850.0,2489.0,,,14.0,2742.0,,,1024.0,2276.0,,
2024-01-31 19:00:00,480.0,2593.0,,,14.0,2742.0,,,703.0,2352.0,,
2024-01-31 20:00:00,287.0,2715.0,,,14.0,2742.0,,,419.0,2410.0,,
2024-01-31 21:00:00,195.0,2831.0,,,14.0,2742.0,,,271.0,2502.0,,
2024-01-31 22:00:00,205.0,2964.0,,,14.0,2742.0,,,158.0,2589.0,,
2024-01-31 23:00:00,168.0,3071.0,,,14.0,2742.0,,,158.0,2666.0,,
2024-02-01 00:00:00,114.0,3115.0,,,14.0,2742.0,,,174.0,2733.0,,
2024-02-01 01:00:00,100.0,3153.0,,,14.0,2742.0,,,52.0,2794.0,,
2024-02-01 02:00:00,81.0,3135.0,,,14.0,2742.0,,,37.0,2829.0,,
2024-02-01 03:00:00,50.0,3121.0,,,14.0,2742.0,,,24.0,2815.0,,
2024-02-01 04:00:00,21.0,3005.0,,,14.0,2742.0,,,14.0,2742.0,,
2024-02-05 01:00:00,,,18.6,17.4,,,,,,,,
2024-02-05 02:00:00,,,17.9,16.9,,,,,,,,
2024-02-05 03:00:00,,,17.2,16.4,,,,,,,,
2024-02-05 04:00:00,,,16.4,16.0,,,,,,,,
2024-02-05 05:00:00,,,15.8,15.7,,,,,,,,
2024-02-05 06:00:00,,,15.1,15.4,,,,,,,,
2024-02-05 07:00:00,,,15.7,15.6,,,,,,,,
2024-02-05 08:00:00,,,17.5,17.1,,,,,,,,
2024-02-05 09:00:00,,,19.9,18.8,,,,,,,,
2024-02-05 10:00:00,,,22.2,20.3,,,,,,,,
2024-02-05 11:00:00,,,24.0,21.6,,,,,,,,
2024-02-05 12:00:00,,,25.8,22.7,,,,,,,,
2024-02-05 13:00:00,,,27.3,23.6,,,,,,,,
2024-02-05 14:00:00,,,28.4,24.2,,,,,,,,
2024-02-05 15:00:00,,,29.1,24.7,,,,,,,,
2024-02-05 16:00:00,,,29.2,24.8,,,,,,,,
2024-02-05 17:00:00,,,29.1,24.6,,,,,,,,
2024-02-05 18:00:00,,,28.6,24.2,,,,,,,,
2024-02-05 19:00:00,,,27.6,23.4,,,,,,,,
2024-02-05 20:00:00,,,25.9,22.2,,,,,,,,
2024-02-05 21:00:00,,,23.3,20.7,,,,,,,,
2024-02-05 22:00:00,,,21.8,19.6,,,,,,,,
2024-02-05 23:00:00,,,20.8,18.8,,,,,,,,
2024-02-06 00:00:00,,,19.9,18.2,,,,,,,,
2024-02-06 01:00:00,,,18.6,17.6,,,,,,,,
2024-02-06 02:00:00,,,18.0,17.1,,,,,,,,
2024-02-06 03:00:00,,,17.3,16.7,,,,,,,,
2024-02-06 04:00:00,,,16.6,16.2,,,,,,,,
2024-02-06 05:00:00,,,15.9,15.9,,,,,,,,
2024-02-06 06:00:00,,,15.2,15.6,,,,,,,,
2024-02-06 07:00:00,,,15.8,15.8,,,,,,,,
2024-02-06 08:00:00,,,17.6,17.3,,,,,,,,
2024-02-06 09:00:00,,,20.1,19.1,,,,,,,,
2024-02-06 10:00:00,,,22.3,20.6,,,,,,,,
2024-02-06 11:00:00,,,24.1,21.9,,,,,,,,
2024-02-06 12:00:00,,,25.8,23.0,,,,,,,,
2024-02-06 13:00:00,,,27.3,23.8,,,,,,,,
2024-02-06 14:00:00,,,28.3,24.4,,,,,,,,
2024-02-06 15:00:00,,,29.0,24.9,,,,,,,,
2024-02-06 16:00:00,,,29.2,25.1,,,,,,,,
2024-02-06 17:00:00,,,29.0,24.9,,,,,,,,
2024-02-06 18:00:00,,,28.5,24.4,,,,,,,,
2024-02-06 19:00:00,,,27.4,23.7,,,,,,,,
2024-02-06 20:00:00,,,25.8,22.4,,,,,,,,
2024-02-06 21:00:00,,,23.2,20.9,,,,,,,,
2024-02-06 22:00:00,,,21.7,19.8,,,,,,,,
2024-02-06 23:00:00,,,20.8,19.0,,,,,,,,
2024-02-07 00:00:00,,,19.9,18.4,,,,,,,,
2024-02-07 01:00:00,,,18.6,17.8,,,,,,,,
2024-02-07 02:00:00,,,18.0,17.3,,,,,,,,
2024-02-07 03:00:00,,,17.2,16.9,,,,,,,,
2024-02-07 04:00:00,,,16.5,16.4,,,,,,,,
2024-02-07 05:00:00,,,15.8,16.1,,,,,,,,
2024-02-07 06:00:00,,,15.2,15.8,,,,,,,,
2024-02-07 07:00:00,,,15.8,16.0,,,,,,,,
2024-02-07 08:00:00,,,17.6,17.6,,,,,,,,
2024-02-07 09:00:00,,,20.1,19.3,,,,,,,,
2024-02-07 10:00:00,,,22.3,20.8,,,,,,,,
2024-02-07 11:00:00,,,24.1,22.1,,,,,,,,
2024-02-07 12:00:00,,,25.8,23.2,,,,,,,,
2024-02-07 13:00:00,,,27.3,24.0,,,,,,,,
2024-02-07 14:00:00,,,28.3,24.6,,,,,,,,
2024-02-07 15:00:00,,,28.9,25.1,,,,,,,,
2024-02-07 16:00:00,,,29.2,25.3,,,,,,,,
2024-02-07 17:00:00,,,29.0,25.1,,,,,,,,
2024-02-07 18:00:00,,,28.5,24.6,,,,,,,,
2024-02-07 19:00:00,,,27.5,23.8,,,,,,,,
2024-02-07 20:00:00,,,25.8,22.6,,,,,,,,
2024-02-07 21:00:00,,,23.2,21.1,,,,,,,,
2024-02-07 22:00:00,,,21.7,20.1,,,,,,,,
2024-02-07 23:00:00,,,20.8,19.2,,,,,,,,
2024-02-08 00:00:00,,,19.9,18.6,,,,,,,,
2024-02-08 01:00:00,,,18.5,17.9,,,,,,,,
2024-02-08 02:00:00,,,18.0,17.6,,,,,,,,
2024-02-08 03:00:00,,,17.3,17.1,,,,,,,,
2024-02-08 04:00:00,,,16.6,16.7,,,,,,,,
2024-02-08 05:00:00,,,15.9,16.3,,,,,,,,
2024-02-08 06:00:00,,,15.3,16.1,,,,,,,,
2024-02-08 07:00:00,,,15.8,16.3,,,,,,,,
2024-02-08 08:00:00,,,17.6,17.8,,,,,,,,
2024-02-08 09:00:00,,,20.1,19.5,,,,,,,,
2024-02-08 10:00:00,,,22.3,21.0,,,,,,,,
2024-02-08 11:00:00,,,24.1,22.3,,,,,,,,
2024-02-08 12:00:00,,,25.8,23.4,,,,,,,,
2024-02-08 13:00:00,,,27.3,24.2,,,,,,,,
2024-02-08 14:00:00,,,28.3,24.8,,,,,,,,
2024-02-08 15:00:00,,,28.9,25.3,,,,,,,,
2024-02-08 16:00:00,,,29.2,25.5,,,,,,,,
2024-02-08 17:00:00,,,29.0,25.3,,,,,,,,
2024-02-08 18:00:00,,,28.4,24.7,,,,,,,,
2024-02-08 19:00:00,,,27.4,23.9,,,,,,,,
2024-02-08 20:00:00,,,25.7,22.8,,,,,,,,
2024-02-08 21:00:00,,,23.1,21.3,,,,,,,,
2024-02-08 22:00:00,,,21.7,20.3,,,,,,,,
2024-02-08 23:00:00,,,20.8,19.4,,,,,,,,
2024-02-09 00:00:00,,,19.9,18.8,,,,,,,,
2024-02-09 01:00:00,,,18.5,18.1,,,,,,,,
2024-02-09 02:00:00,,,18.1,17.8,,,,,,,,
2024-02-09 03:00:00,,,17.3,17.3,,,,,,,,
2024-02-09 04:00:00,,,16.6,16.9,,,,,,,,
2024-02-09 05:00:00,,,16.0,16.6,,,,,,,,
2024-02-09 06:00:00,,,15.4,16.3,,,,,,,,
2024-02-09 07:00:00,,,15.8,16.5,,,,,,,,
2024-02-09 08:00:00,,,17.6,18.1,,,,,,,,
2024-02-09 09:00:00,,,20.1,19.7,,,,,,,,
2024-02-09 10:00:00,,,22.3,21.2,,,,,,,,
2024-02-09 11:00:00,,,24.2,22.4,,,,,,,,
2024-02-09 12:00:00,,,25.8,23.6,,,,,,,,
2024-02-09 13:00:00,,,27.3,24.3,,,,,,,,
2024-02-09 14:00:00,,,28.3,24.9,,,,,,,,
2024-02-09 15:00:00,,,28.9,25.4,,,,,,,,
2024-02-09 16:00:00,,,29.2,25.7,,,,,,,,
2024-02-09 17:00:00,,,28.9,25.4,,,,,,,,
2024-02-09 18:00:00,,,28.4,24.9,,,,,,,,
2024-02-09 19:00:00,,,27.4,24.1,,,,,,,,
2024-02-09 20:00:00,,,25.7,22.9,,,,,,,,
2024-02-09 21:00:00,,,23.1,21.4,,,,,,,,
2024-02-09 22:00:00,,,21.7,20.5,,,,,,,,
2024-02-09 23:00:00,,,20.8,19.7,,,,,,,,
2024-02-10 00:00:00,,,19.9,19.1,,,,,,,,
2024-02-10 01:00:00,,,18.6,18.3,,,19.9,19.1,,,18.5,18.1
2024-02-10 02:00:00,,,18.1,18.0,,,19.9,19.1,,,18.1,17.8
2024-02-10 03:00:00,,,17.4,17.6,,,19.9,19.1,,,17.3,17.3
2024-02-10 04:00:00,,,16.6,17.2,,,19.9,19.1,,,16.6,16.9
2024-02-10 05:00:00,,,16.1,16.8,,,19.9,19.1,,,16.0,16.6
2024-02-10 06:00:00,,,15.4,16.4,,,19.9,19.1,,,15.4,16.3
2024-02-10 07:00:00,,,15.9,16.7,,,19.9,19.1,,,15.8,16.5
2024-02-10 08:00:00,,,17.6,18.2,,,19.9,19.1,,,17.6,18.1
2024-02-10 09:00:00,,,20.1,19.9,,,19.9,19.1,,,20.1,19.7
2024-02-10 10:00:00,,,22.3,21.3,,,19.9,19.1,,,22.3,21.2
2024-02-10 11:00:00,,,24.2,22.6,,,19.9,19.1,,,24.2,22.4
2024-02-10 12:00:00,,,25.8,23.7,,,19.9,19.1,,,25.8,23.6
2024-02-10 13:00:00,,,27.3,24.5,,,19.9,19.1,,,27.3,24.3
2024-02-10 14:00:00,,,28.3,25.1,,,19.9,19.1,,,28.3,24.9
2024-02-10 15:00:00,,,28.9,25.6,,,19.9,19.1,,,28.9,25.4
2024-02-10 16:00:00,,,29.2,25.8,,,19.9,19.1,,,29.2,25.7
2024-02-10 17:00:00,,,28.9,25.6,,,19.9,19.1,,,28.9,25.4
2024-02-10 18:00:00,,,28.4,25.0,,,19.9,19.1,,,28.4,24.9
2024-02-10 19:00:00,,,27.4,24.2,,,19.9,19.1,,,27.4,24.1
2024-02-10 20:00:00,,,25.6,23.1,,,19.9,19.1,,,25.7,22.9
2024-02-10 21:00:00,,,23.1,21.6,,,19.9,19.1,,,23.1,21.4
2024-02-10 22:00:00,,,21.7,20.6,,,19.9,19.1,,,21.7,20.5
2024-02-10 23:00:00,,,20.8,19.8,,,19.9,19.1,,,20.8,19.7
2024-02-11 00:00:00,,,19.9,19.2,,,19.9,19.1,,,19.9,19.1
2024-02-11 01:00:00,,,18.7,18.4,,,19.9,19.1,,,18.5,18.1
2024-02-11 02:00:00,,,18.2,18.2,,,19.9,19.1,,,18.1,17.8
2024-02-11 03:00:00,,,17.4,17.7,,,19.9,19.1,,,17.3,17.3
2024-02-11 04:00:00,,,16.7,17.3,,,19.9,19.1,,,16.6,16.9
2024-02-11 05:00:00,,,16.2,16.9,,,19.9,19.1,,,16.0,16.6
2024-02-11 06:00:00,,,15.5,16.6,,,19.9,19.1,,,15.4,16.3
2024-02-11 07:00:00,,,15.9,16.9,,,19.9,19.1,,,15.8,16.5
2024-02-11 08:00:00,,,17.6,18.4,,,19.9,19.1,,,17.6,18.1
2024-02-11 09:00:00,,,20.1,20.1,,,19.9,19.1,,,20.1,19.7
2024-02-11 10:00:00,,,22.3,21.6,,,19.9,19.1,,,22.3,21.2
2024-02-11 11:00:00,,,24.2,22.8,,,19.9,19.1,,,24.2,22.4
2024-02-11 12:00:00,,,25.8,23.8,,,19.9,19.1,,,25.8,23.6
2024-02-11 13:00:00,,,27.2,24.7,,,19.9,19.1,,,27.3,24.3
2024-02-11 14:00:00,,,28.2,25.2,,,19.9,19.1,,,28.3,24.9
2024-02-11 15:00:00,,,28.8,25.7,,,19.9,19.1,,,28.9,25.4
2024-02-11 16:00:00,,,29.1,25.9,,,19.9,19.1,,,29.2,25.7
2024-02-11 17:00:00,,,28.9,25.7,,,19.9,19.1,,,28.9,25.4
2024-02-11 18:00:00,,,28.3,25.1,,,19.9,19.1,,,28.4,24.9
2024-02-11 19:00:00,,,27.3,24.3,,,19.9,19.1,,,27.4,24.1
2024-02-11 20:00:00,,,25.6,23.2,,,19.9,19.1,,,25.7,22.9
2024-02-11 21:00:00,,,23.1,21.7,,,19.9,19.1,,,23.1,21.4
2024-02-11 22:00:00,,,21.7,20.8,,,19.9,19.1,,,21.7,20.5
2024-02-11 23:00:00,,,20.7,20.0,,,19.9,19.1,,,20.8,19.7
2024-02-12 00:00:00,,,19.9,19.4,,,19.9,19.1,,,19.9,19.1
