unique_id,ds,y,HistoricAverage,Naive,SeasonalNaive,WindowAverage
Brisbane,2011-04-01,1349.9519435,,,,
Brisbane,2011-07-01,1443.0217613999998,,,,
Brisbane,2011-10-01,1165.402789,,,,
Brisbane,2012-01-01,1276.0252253,,,,
Brisbane,2012-04-01,1150.0341461,,,,
Brisbane,2012-07-01,1294.2609094,,,,
Brisbane,2012-10-01,1268.1844523,,,,
Brisbane,2013-01-01,1400.0783068,,,,
Brisbane,2013-04-01,1156.6685943,,,,
Brisbane,2013-07-01,1233.6805138,,,,
Brisbane,2013-10-01,1392.6748137,,,,
Brisbane,2014-01-01,1321.6365672,,,,
Brisbane,2014-04-01,1368.2009601,,,,
Brisbane,2014-07-01,1419.1604873,,,,
Brisbane,2014-10-01,1443.0951784,,,,
Brisbane,2015-01-01,1383.8208382,,,,
Brisbane,2015-04-01,1427.3070724,,,,
Brisbane,2015-07-01,1419.1574848,,,,
Brisbane,2015-10-01,1553.9289293,,,,
Brisbane,2016-01-01,1327.2369982,,,,
Brisbane,2016-04-01,1434.340824,,,,
Brisbane,2016-07-01,1496.6197777,,,,
Brisbane,2016-10-01,1745.8612272,,,,
Brisbane,2017-01-01,1550.1429534,1210.6039998605263,1745.8612272,1327.2369982,1501.014706775
Brisbane,2017-04-01,1601.9157246999998,1210.6039998605263,1745.8612272,1434.340824,1501.014706775
Brisbane,2017-07-01,1786.0339489,1210.6039998605263,1745.8612272,1496.6197777,1501.014706775
Brisbane,2017-10-01,1540.9654839,1210.6039998605263,1745.8612272,1745.8612272,1501.014706775
Melbourne,1998-01-01,1578.5484092000002,,,,
Melbourne,1998-04-01,1506.0713513,,,,
Melbourne,1998-07-01,1522.2149545,,,,
Melbourne,1998-10-01,1511.1824341,,,,
Melbourne,1999-01-01,1449.1223592,,,,
Melbourne,1999-04-01,1441.9732019,,,,
Melbourne,1999-07-01,1267.4295268,,,,
Melbourne,1999-10-01,1375.8628686000002,,,,
Melbourne,2000-01-01,1612.5143091999998,,,,
Melbourne,2000-04-01,1501.9973776,,,,
Melbourne,2000-07-01,1454.1543578,,,,
Melbourne,2000-10-01,1638.5953484,,,,
Melbourne,2001-01-01,1601.8201856,,,,
Melbourne,2001-04-01,1614.9481071,,,,
Melbourne,2001-07-01,1567.3468803,,,,
Melbourne,2001-10-01,1610.5715097,,,,
Melbourne,2002-01-01,1520.0716392,,,,
Melbourne,2002-04-01,1436.0414089,,,,
Melbourne,2002-07-01,1554.0748758,,,,
Melbourne,2002-10-01,1573.4855729,,,,
Melbourne,2003-01-01,1609.3742868,,,,
Melbourne,2003-04-01,1671.0546301999998,,,,
Melbourne,2003-07-01,1422.4575848,,,,
Melbourne,2003-10-01,1482.7250580999998,,,,
Melbourne,2004-01-01,1471.5167533,,,,
Melbourne,2004-04-01,1698.3857615000002,,,,
Melbourne,2004-07-01,1543.2291861,,,,
Melbourne,2004-10-01,1409.5756038,,,,
Melbourne,2005-01-01,1569.3473647,,,,
Melbourne,2005-04-01,1440.5780594,,,,
Melbourne,2005-07-01,1463.0931423,,,,
Melbourne,2005-10-01,1616.3001341,,,,
Melbourne,2006-01-01,1722.6871930000002,,,,
Melbourne,2006-04-01,1728.666472,,,,
Melbourne,2006-07-01,1476.5186119999998,,,,
Melbourne,2006-10-01,1641.988076,,,,
Melbourne,2007-01-01,1461.6024794999998,,,,
Melbourne,2007-04-01,1628.2661611,,,,
Melbourne,2007-07-01,1766.9769219999998,,,,
Melbourne,2007-10-01,1681.6064205,,,,
Melbourne,2008-01-01,1693.8094748,,,,
Melbourne,2008-04-01,1563.5959181,,,,
Melbourne,2008-07-01,1734.6378127,,,,
Melbourne,2008-10-01,1656.2088467,,,,
Melbourne,2009-01-01,1489.3106793,,,,
Melbourne,2009-04-01,1619.8443494,,,,
Melbourne,2009-07-01,1707.8405389999998,,,,
Melbourne,2009-10-01,1611.0441794,,,,
Melbourne,2010-01-01,1528.4473296,,,,
Melbourne,2010-04-01,1650.886496,,,,
Melbourne,2010-07-01,1647.4625617,,,,
Melbourne,2010-10-01,1645.3721988,,,,
Melbourne,2011-01-01,1722.1449484,,,,
Melbourne,2011-04-01,1714.1382383,,,,
Melbourne,2011-07-01,1781.6070882,,,,
Melbourne,2011-10-01,1631.8798093,,,,
Melbourne,2012-01-01,1685.9115409,,,,
Melbourne,2012-04-01,1757.1965143000002,,,,
Melbourne,2012-07-01,1762.611368,,,,
Melbourne,2012-10-01,1848.405597,,,,
Melbourne,2013-01-01,1634.7094946,,,,
Melbourne,2013-04-01,1816.2072769,,,,
Melbourne,2013-07-01,1839.9312647,,,,
Melbourne,2013-10-01,1790.8685697,,,,
Melbourne,2014-01-01,1865.4647011,,,,
Melbourne,2014-04-01,2060.1610803,,,,
Melbourne,2014-07-01,1861.3894715,,,,
Melbourne,2014-10-01,2039.9576404,,,,
Melbourne,2015-01-01,2090.000733,,,,
Melbourne,2015-04-01,1980.8073001,,,,
Melbourne,2015-07-01,1927.9631784,,,,
Melbourne,2015-10-01,2109.4289614,,,,
Melbourne,2016-01-01,2061.2258954,,,,
Melbourne,2016-04-01,2125.6995155,,,,
Melbourne,2016-07-01,2205.6080024000003,,,,
Melbourne,2016-10-01,2250.0041544,,,,
Melbourne,2017-01-01,2161.4890647,1670.4705172236843,2250.0041544,2061.2258954,2160.634391925
Melbourne,2017-04-01,2100.8637101,1670.4705172236843,2250.0041544,2125.6995155,2160.634391925
Melbourne,2017-07-01,2319.3587159,1670.4705172236843,2250.0041544,2205.6080024000003,2160.634391925
Melbourne,2017-10-01,2632.9528531,1670.4705172236843,2250.0041544,2250.0041544,2160.634391925
