ds,actual,prediction,lower_bound,upper_bound,type
2024-08-19,1.0495,,,,train
2024-08-20,1.0522,,,,train
2024-08-21,1.0531,,,,train
2024-08-22,1.0542,,,,train
2024-08-23,1.0562,,,,train
2024-08-24,1.0507,,,,train
2024-08-25,1.0512,,,,train
2024-08-26,1.0492,,,,train
2024-08-27,1.054,,,,train
2024-08-28,1.0581,,,,train
2024-08-29,1.0568,,,,train
2024-08-30,1.0527,,,,train
2024-08-31,1.0507,,,,train
2024-09-01,1.0491,,,,train
2024-09-02,1.0518,,,,train
2024-09-03,1.0498,,,,train
2024-09-04,1.0497,,,,train
2024-09-05,1.0496,,,,train
2024-09-06,1.0395,,,,train
2024-09-07,1.039,,,,train
2024-09-08,1.0393,,,,train
2024-09-09,1.0395,,,,train
2024-09-10,1.0435,,,,train
2024-09-11,1.0444,,,,train
2024-09-12,1.0389,,,,train
2024-09-13,1.0321,,,,train
2024-09-14,1.0299,,,,train
2024-09-15,1.0426,,,,train
2024-09-16,1.0393,,,,train
2024-09-17,1.0286,,,,train
2024-09-18,1.0305,,,,train
2024-09-19,1.0304,,,,train
2024-09-20,1.0198,,,,train
2024-09-21,1.0245,,,,train
2024-09-22,1.03,,,,train
2024-09-23,1.0272,,,,train
2024-09-24,1.0298,,,,train
2024-09-25,1.0316,,,,train
2024-09-26,1.0357,,,,train
2024-09-27,1.0443,,,,train
2024-09-28,1.0404,,,,train
2024-09-29,1.0472,,,,train
2024-09-30,1.053,,,,train
2024-10-01,1.0421,,,,train
2024-10-02,1.0396,,,,train
2024-10-03,1.0403,,,,train
2024-10-04,1.0393,,,,train
2024-10-05,1.0274,,,,train
2024-10-06,1.0335,,,,train
2024-10-07,1.0422,,,,train
2024-10-08,1.036,,,,train
2024-10-09,1.0377,,,,train
2024-10-10,1.032,,,,train
2024-10-11,1.0324,,,,train
2024-10-12,1.037,,,,train
2024-10-13,1.039,,,,train
2024-10-14,1.0478,,,,train
2024-10-15,1.0473,,,,train
2024-10-16,1.0447,,,,train
2024-10-17,1.0434,,,,train
2024-10-18,1.0443,,,,train
2024-10-19,1.0465,,,,train
2024-10-20,1.0466,,,,train
2024-10-21,1.0497,,,,train
2024-10-22,1.0487,,,,train
2024-10-23,1.0477,,,,train
2024-10-24,1.0411,,,,train
2024-10-25,1.0465,,,,train
2024-10-26,1.0557,,,,train
2024-10-27,1.0694,,,,train
2024-10-28,1.0796,,,,train
2024-10-29,1.0857,,,,train
2024-10-30,1.0845,,,,train
2024-10-31,1.0912,,,,train
2024-11-01,1.0886,,,,train
2024-11-02,1.083,,,,train
2024-11-03,1.0889,,,,train
2024-11-04,1.0903,,,,train
2024-11-05,1.0918,,,,train
2024-11-06,1.0897,,,,train
2024-11-07,1.0833,,,,train
2024-11-08,1.0827,,,,train
2024-11-09,1.0824,,,,train
2024-11-09,1.0824,,,,test
2024-11-10,1.0825,,,,test
2024-11-11,1.0788,,,,test
2024-11-12,1.0785,,,,test
2024-11-13,1.0797,,,,test
2024-11-14,1.0815,,,,test
2024-11-15,1.0788,,,,test
2024-11-16,1.0803,,,,test
2024-11-10,,1.0824561,1.074945,1.0899673,forecast
2024-11-11,,1.0834059,1.0773319,1.0894798,forecast
2024-11-12,,1.083939,1.0827969,1.085081,forecast
2024-11-13,,1.0823649,1.0795695,1.0851604,forecast
2024-11-14,,1.0807809,1.078894,1.0826677,forecast
2024-11-15,,1.0803025,1.0723763,1.0882287,forecast
2024-11-16,,1.080257,1.0632784,1.0972357,forecast
2024-11-17,,1.0805681,1.060581,1.1005552,forecast
2024-11-18,,1.0817618,1.0569127,1.106611,forecast
2024-11-19,,1.0821958,1.0584713,1.1059202,forecast
