ds,actual,forecast_mean,forecast_lo,forecast_hi,anchor_index,type
2025-04-21,2988.42,,,,,observed
2025-04-22,2991.2,,,,,observed
2025-04-23,2990.13,,,,,observed
2025-04-24,2989.02,,,,,observed
2025-04-25,2991.02,,,,,observed
2025-04-26,2910.18,,,,,observed
2025-04-27,2913.68,,,,,observed
2025-04-28,2994.98,,,,,observed
2025-04-29,3001.09,,,,,observed
2025-04-30,3003.63,,,,,observed
2025-05-01,2999.22,,,,,observed
2025-05-02,3003.24,,,,,observed
2025-05-03,2928.23,,,,,observed
2025-05-04,2927.99,,,,,observed
2025-05-05,3012.16,,,,,observed
2025-05-06,3016.74,,,,,observed
2025-05-07,3022.84,,,,,observed
2025-05-08,3020.53,,,,,observed
2025-05-09,3023.64,,,,,observed
2025-05-10,3175.71,,,,,observed
2025-05-11,2941.78,,,,,observed
2025-05-12,3021.89,,,,,observed
2025-05-13,3028.55,,,,,observed
2025-05-14,3024.81,,,,,observed
2025-05-15,3019.93,,,,,observed
2025-05-16,3026.81,,,,,observed
2025-05-17,2943.04,,,,,observed
2025-05-18,2947.42,,,,,observed
2025-05-19,3038.18,,,,,observed
2025-05-20,3040.28,,,,,observed
2025-05-21,3043.66,,,,,observed
2025-05-22,3042.67,,,,,observed
2025-05-23,3041.57,,,,,observed
2025-05-24,2962.76,,,,,observed
2025-05-25,2962.99,,,,,observed
2025-05-26,3047.05,,,,,observed
2025-05-27,3044.15,,,,,observed
2025-05-28,3043.84,,,,,observed
2025-05-29,3052.64,,,,,observed
2025-05-30,3053.71,,,,,observed
2025-05-31,2972.54,,,,,observed
2025-06-01,2972.62,,,,,observed
2025-06-02,3054.13,,,,,observed
2025-06-03,3056.1,,,,,observed
2025-06-04,3056.7,,,,,observed
2025-06-05,3062.91,,,,,observed
2025-06-06,3062.51,,,,,observed
2025-06-07,2982.05,,,,,observed
2025-06-08,2983.45,,,,,observed
2025-06-09,3069.38,,,,,observed
2025-06-10,3066.63,,,,,observed
2025-06-11,3068.66,,,,,observed
2025-06-12,3073.52,,,,,observed
2025-06-13,3073.8,,,,,observed
2025-06-14,2993.1,,,,,observed
2025-06-15,2987.27,,,,,observed
2025-06-16,3078.69,,,,,observed
2025-06-17,3080.96,,,,,observed
2025-06-18,3080.69,,,,,observed
2025-06-19,3085.7,,,,,observed
2025-06-20,3088.89,,,,,observed
2025-06-21,3002.38,,,,,observed
2025-06-22,3004.05,,,,,observed
2025-06-23,3092.16,,,,,observed
2025-06-24,3091.56,,,,,observed
2025-06-25,3090.93,,,,,observed
2025-06-26,3099.09,,,,,observed
2025-06-27,3098.7,,,,,observed
2025-06-28,3010.35,,,,,observed
2025-06-29,3013.07,,,,,observed
2025-06-30,3104.22,,,,,observed
2025-07-01,3107.69,,,,,observed
2025-07-02,3109.6,,,,,observed
2025-07-03,3116.22,,,,,observed
2025-07-04,3400.16,,,,,observed
2025-07-05,3030.08,,,,,observed
2025-07-06,3035.66,,,,,observed
2025-07-07,3121.79,,,,,observed
2025-07-08,3123.49,,,,,observed
2025-07-09,3127.84,,,,,observed
2025-07-10,3130.18,,,,,observed
2025-07-11,3137.09,,,,,observed
2025-07-12,3044.05,,,,,observed
2025-07-13,3048.94,,,,,observed
2025-07-14,3138.43,,,,,observed
2025-07-15,3138.99,,,,,observed
2025-07-16,3144.44,,,,,observed
2025-07-17,3144.09,,,,,observed
2025-07-18,3146.91,,,,,observed
2025-07-19,3056.58,,,,,observed
2025-07-20,3060.87,,,,,observed
2025-07-21,3154.64,,,,,observed
2025-07-22,3154.39,,,,,observed
2025-07-23,3162.78,,,,,observed
2025-07-24,3156.99,,,,,observed
2025-07-25,3161.57,,,,,observed
2025-07-26,3067.19,,,,,observed
2025-07-27,3065.17,,,,,observed
2025-07-28,3158.5,,,,,observed
2025-07-29,3162.7,,,,,observed
2025-07-30,3166.9,,,,,observed
2025-07-31,3161.54,,,,,observed
2025-08-01,3163.57,,,,,observed
2025-08-02,3072.93,,,,,observed
2025-08-03,3070.01,,,,,observed
2025-08-04,3169.73,,,,,observed
2025-08-05,3172.08,,,,,observed
2025-08-06,3177.74,,,,,observed
2025-08-07,3176.87,,,,,observed
2025-08-08,3175.48,,,,,observed
2025-08-09,3081.37,,,,,observed
2025-08-10,3085.46,,,,,observed
2025-08-11,3183.58,,,,,observed
2025-08-12,3183.08,,,,,observed
2025-08-13,3189.55,,,,,observed
2025-08-14,3190.22,,,,,observed
2025-08-15,3193.97,,,,,observed
2025-08-16,3106.76,,,,,observed
2025-08-17,3105.0,,,,,observed
2025-08-18,3202.5,,,,,observed
2025-08-19,3201.67,,,,,observed
2025-08-20,3202.89,,,,,observed
2025-08-21,3203.54,,,,,observed
2025-08-22,3211.09,,,,,observed
2025-08-23,3109.97,,,,,observed
2025-08-24,3112.44,,,,,observed
2025-08-25,3210.87,,,,,observed
2025-08-26,3207.5,,,,,observed
2025-08-27,3209.08,,,,,observed
2025-08-28,3206.87,,,,,observed
2025-08-29,3207.46,,,,,observed
2025-08-30,3111.1,,,,,observed
2025-08-31,3108.49,,,,,observed
2025-08-27,,3211.316,3203.8625,3218.7693,0.0,forecast
2025-08-28,,3209.913,3200.6914,3219.1348,0.0,forecast
2025-08-29,,3190.1206,3158.8877,3221.3535,0.0,forecast
2025-08-30,,3105.8481,3078.8425,3132.8538,0.0,forecast
2025-08-31,,3105.149,3078.0918,3132.206,0.0,forecast
2025-09-01,,3202.2266,3173.366,3231.0872,0.0,forecast
2025-09-02,,3213.2344,3196.263,3230.2058,0.0,forecast
2025-08-28,,3209.5522,3203.1978,3215.9067,1.0,forecast
2025-08-29,,3191.0374,3161.6848,3220.39,1.0,forecast
2025-08-30,,3104.3252,3076.3992,3132.2512,1.0,forecast
2025-08-31,,3106.5251,3081.5989,3131.4514,1.0,forecast
2025-09-01,,3205.6501,3181.8467,3229.4536,1.0,forecast
2025-09-02,,3213.1448,3198.0806,3228.209,1.0,forecast
2025-09-03,,3212.2542,3194.737,3229.7712,1.0,forecast
2025-08-29,,3186.432,3155.7852,3217.0786,2.0,forecast
2025-08-30,,3102.6943,3074.6506,3130.738,2.0,forecast
2025-08-31,,3105.158,3081.5178,3128.798,2.0,forecast
2025-09-01,,3201.775,3178.0366,3225.5132,2.0,forecast
2025-09-02,,3210.58,3196.612,3224.548,2.0,forecast
2025-09-03,,3208.0454,3190.175,3225.9158,2.0,forecast
2025-09-04,,3205.6316,3184.1482,3227.115,2.0,forecast
2025-08-30,,3107.3298,3083.4783,3131.1814,3.0,forecast
2025-08-31,,3108.9888,3088.4993,3129.4783,3.0,forecast
2025-09-01,,3208.0696,3192.0034,3224.1357,3.0,forecast
2025-09-02,,3214.034,3205.3657,3222.7021,3.0,forecast
2025-09-03,,3211.1802,3198.6865,3223.6738,3.0,forecast
2025-09-04,,3210.8857,3197.451,3224.3206,3.0,forecast
2025-09-05,,3187.8992,3144.0762,3231.7222,3.0,forecast
2025-08-31,,3107.339,3091.357,3123.3213,4.0,forecast
2025-09-01,,3208.7905,3198.614,3218.967,4.0,forecast
2025-09-02,,3216.8938,3209.584,3224.2036,4.0,forecast
2025-09-03,,3211.2324,3202.8203,3219.6445,4.0,forecast
2025-09-04,,3207.1746,3194.4636,3219.8855,4.0,forecast
2025-09-05,,3188.3035,3149.8948,3226.7122,4.0,forecast
2025-09-06,,3106.6284,3085.9385,3127.3184,4.0,forecast
