time_step,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,signal_10,signal_11,signal_12,signal_13,signal_14,signal_15,signal_16,signal_17,signal_18,signal_19,signal_20
22,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34,304.34
23,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55,303.55
24,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35,302.35
25,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34,301.34
26,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14,299.14
27,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96
28,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95,296.95
29,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27,297.27
30,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02,300.02
31,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59,302.59
32,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26,305.26
33,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15,307.15
34,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52,309.52
35,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15
36,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59,312.59
37,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25
38,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92
39,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52,315.52
40,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26,315.26
41,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9,314.9
42,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77,313.77
43,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72,310.72
44,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49,308.49
45,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8,305.8
46,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16,304.16
47,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96
48,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53,301.53
49,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16,300.16
50,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97,299.97
51,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93,297.93
52,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94
53,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76,297.76
54,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39,300.39
55,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51,303.51
56,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81,305.81
57,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15
58,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15,310.15
59,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49,311.49
60,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59,313.59
61,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03
62,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15,316.15
63,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77,316.77
64,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15,317.15
65,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7,316.7
66,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77,315.77
67,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14
68,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15,311.15
69,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15
70,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94
71,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51,305.51
72,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54,305.54
73,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75
74,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94
75,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94,300.94
76,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8
77,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14,301.14
78,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14
79,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39,305.39
80,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92,307.92
81,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59,310.59
82,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26,312.26
83,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37
84,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81,315.81
85,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37,317.37
86,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15,319.15
87,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31,319.31
88,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77,319.77
89,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29,319.29
90,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99,317.99
91,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43,315.43
92,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04,312.04
93,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78
94,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59
95,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94,307.94
96,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34,305.34
97,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96
98,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76,303.76
99,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55
100,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12
101,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86
102,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8,304.8
103,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58,308.58
104,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39,310.39
105,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37,312.37
106,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37,314.37
107,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78,316.78
108,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03,318.03
109,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28,319.28
110,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15,320.15
111,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86,320.86
112,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15,321.15
113,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44
114,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81,319.81
115,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81,316.81
116,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33
117,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64,310.64
118,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41,308.41
119,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15
120,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66,307.66
121,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4
122,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65,304.65
123,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43
124,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
125,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4,303.4
126,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4
127,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89,307.89
128,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24,310.24
129,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15,312.15
130,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794,315.794
131,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03,315.03
132,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48,316.48
133,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52,317.52
134,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48,319.48
135,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7,319.7
136,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6,319.6
137,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52,319.52
138,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77,317.77
139,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15
140,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7
141,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33,311.33
142,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98,309.98
143,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57,307.57
144,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97
145,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77,305.77
146,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19,305.19
147,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77
148,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6
149,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75,303.75
150,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63,305.63
151,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91,306.91
152,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64,308.64
153,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93,309.93
154,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65
155,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7,312.7
156,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25
157,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15,315.15
158,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03
159,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59,316.59
160,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92,316.92
161,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4
162,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64,315.64
163,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27,313.27
164,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77,311.77
165,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92,309.92
166,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99,307.99
167,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48,306.48
